timestamp, power.draw [W]
2025/06/01 22:18:05.604, 2.30 W
2025/06/01 22:18:06.609, 2.49 W
2025/06/01 22:18:07.611, 2.15 W
2025/06/01 22:18:08.612, 2.20 W
2025/06/01 22:18:09.613, 2.22 W
2025/06/01 22:18:10.614, 2.25 W
2025/06/01 22:18:11.615, 2.27 W
2025/06/01 22:18:12.617, 2.41 W
2025/06/01 22:18:13.618, 2.36 W
2025/06/01 22:18:14.620, 2.43 W
2025/06/01 22:18:15.621, 2.47 W
2025/06/01 22:18:16.627, 2.45 W
2025/06/01 22:18:17.630, 2.45 W
2025/06/01 22:18:18.632, 2.37 W
2025/06/01 22:18:19.633, 2.39 W
2025/06/01 22:18:20.634, 2.39 W
2025/06/01 22:18:21.635, 2.33 W
2025/06/01 22:18:22.637, 2.29 W
2025/06/01 22:18:23.638, 2.43 W
2025/06/01 22:18:25.140, 2.42 W
2025/06/01 22:18:26.141, 2.47 W
2025/06/01 22:18:27.143, 2.46 W
2025/06/01 22:18:28.144, 23.00 W
2025/06/01 22:18:29.145, 23.02 W
2025/06/01 22:18:30.146, 23.01 W
2025/06/01 22:18:31.147, 22.86 W
2025/06/01 22:18:32.148, 23.03 W
2025/06/01 22:18:33.149, 22.91 W
2025/06/01 22:18:34.150, 23.01 W
2025/06/01 22:18:35.150, 10.05 W
2025/06/01 22:18:36.151, 2.74 W
2025/06/01 22:18:37.153, 2.93 W
2025/06/01 22:18:38.154, 3.10 W
2025/06/01 22:18:39.155, 3.20 W
2025/06/01 22:18:40.156, 3.24 W
2025/06/01 22:18:41.158, 3.22 W
2025/06/01 22:18:42.160, 3.38 W
2025/06/01 22:18:43.161, 3.27 W
2025/06/01 22:18:44.162, 3.27 W
2025/06/01 22:18:45.167, 4.79 W
2025/06/01 22:18:46.168, 3.30 W
2025/06/01 22:18:47.169, 3.07 W
2025/06/01 22:18:48.170, 3.05 W
2025/06/01 22:18:49.171, 3.07 W
2025/06/01 22:18:50.172, 3.12 W
2025/06/01 22:18:51.174, 3.06 W
2025/06/01 22:18:52.175, 3.00 W
2025/06/01 22:18:53.176, 3.01 W
2025/06/01 22:18:54.177, 3.04 W
2025/06/01 22:18:55.178, 3.20 W
2025/06/01 22:18:56.180, 3.22 W
2025/06/01 22:18:57.694, 3.08 W
2025/06/01 22:18:58.695, 3.11 W
2025/06/01 22:18:59.697, 3.14 W
2025/06/01 22:19:00.698, 3.05 W
2025/06/01 22:19:01.701, 3.17 W
2025/06/01 22:19:02.706, 2.55 W
2025/06/01 22:19:03.707, 3.04 W
2025/06/01 22:19:04.710, 3.01 W
2025/06/01 22:19:05.711, 3.02 W
2025/06/01 22:19:06.712, 3.01 W
2025/06/01 22:19:07.714, 3.01 W
2025/06/01 22:19:08.715, 3.11 W
2025/06/01 22:19:09.716, 3.07 W
2025/06/01 22:19:10.717, 3.10 W
2025/06/01 22:19:11.718, 3.04 W
2025/06/01 22:19:12.719, 3.20 W
2025/06/01 22:19:13.720, 3.09 W
2025/06/01 22:19:14.721, 3.15 W
2025/06/01 22:19:15.722, 3.03 W
2025/06/01 22:19:16.723, 3.23 W
2025/06/01 22:19:17.724, 2.81 W
