frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
1,0.472,465.081,0.039,5642.116,1.254,0.112,1954.584,0.042,5253.600
2,0.107,2044.805,0.043,5143.412,0.077,0.157,1398.179,0.043,5105.171
3,0.111,1975.958,0.043,5166.633,0.061,0.150,1464.688,0.041,5318.710
4,0.100,2197.969,0.043,5162.748,0.060,0.128,1711.906,0.041,5372.813
5,0.100,2205.736,0.042,5209.753,0.064,0.107,2061.379,0.042,5273.775
6,0.084,2608.836,0.042,5245.573,0.067,0.182,1208.032,0.045,4925.721
7,0.107,2058.907,0.043,5120.399,0.065,0.105,2085.167,0.043,5067.495
8,0.119,1843.344,0.042,5229.593,0.059,0.108,2040.551,0.043,5060.026
9,0.145,1510.439,0.052,4217.724,0.064,0.110,2004.804,0.041,5347.707
10,0.096,2294.938,0.043,5135.718,0.066,0.126,1740.105,0.043,5124.221
11,0.140,1574.153,0.042,5193.990,0.067,0.108,2025.503,0.041,5306.380
12,0.111,1983.378,0.042,5249.583,0.065,0.116,1894.195,0.042,5201.860
13,0.110,2001.882,0.042,5190.064,0.063,0.105,2085.801,0.041,5302.282
14,0.100,2197.266,0.043,5128.047,0.073,0.101,2171.554,0.043,5108.970
15,0.112,1965.776,0.043,5086.263,0.066,0.105,2094.070,0.041,5298.191
16,0.099,2214.985,0.043,5135.718,0.068,0.106,2082.006,0.041,5360.230
17,0.106,2076.968,0.044,4961.312,0.073,0.110,1992.587,0.042,5273.775
18,0.086,2548.796,0.043,5131.880,0.070,0.098,2233.720,0.042,5170.523
19,0.081,2709.730,0.042,5178.322,0.064,0.102,2162.663,0.041,5339.390
20,0.100,2205.736,0.043,5143.412,0.062,0.104,2103.693,0.044,4943.452
21,0.106,2075.085,0.043,5128.047,0.060,0.108,2041.158,0.042,5253.600
22,0.124,1767.427,0.041,5406.658,0.059,0.120,1832.521,0.042,5233.579
23,0.088,2510.587,0.043,5158.869,0.066,0.113,1941.871,0.043,5116.583
24,0.099,2219.281,0.043,5151.129,0.068,0.104,2121.896,0.042,5217.671
25,0.100,2195.860,0.043,5097.591,0.064,0.119,1840.873,0.042,5290.027
26,0.096,2296.473,0.042,5193.990,0.070,0.096,2281.214,0.050,4373.538
27,0.171,1282.012,0.043,5143.412,0.065,0.107,2053.980,0.043,5090.033
28,0.096,2300.320,0.043,5147.268,0.099,0.142,1549.290,0.044,5004.705
29,0.154,1423.985,0.043,5108.970,0.066,0.106,2073.205,0.042,5201.860
