timestamp, power.draw [W]
2025/06/04 17:12:01.379, 2.59 W
2025/06/04 17:12:02.384, 2.39 W
2025/06/04 17:12:03.386, 2.39 W
2025/06/04 17:12:04.387, 2.50 W
2025/06/04 17:12:05.388, 2.42 W
2025/06/04 17:12:06.392, 2.77 W
2025/06/04 17:12:07.394, 2.57 W
2025/06/04 17:12:08.395, 2.53 W
2025/06/04 17:12:09.403, 2.61 W
2025/06/04 17:12:10.404, 2.53 W
2025/06/04 17:12:11.405, 2.52 W
2025/06/04 17:12:12.407, 2.53 W
2025/06/04 17:12:13.412, 5.13 W
2025/06/04 17:12:14.413, 2.77 W
2025/06/04 17:12:15.415, 2.84 W
2025/06/04 17:12:16.416, 2.79 W
2025/06/04 17:12:17.417, 2.85 W
2025/06/04 17:12:18.418, 2.89 W
2025/06/04 17:12:19.419, 2.81 W
2025/06/04 17:12:20.426, 2.88 W
2025/06/04 17:12:21.430, 2.83 W
2025/06/04 17:12:22.436, 2.87 W
2025/06/04 17:12:23.438, 23.80 W
2025/06/04 17:12:24.439, 23.75 W
2025/06/04 17:12:25.441, 23.72 W
2025/06/04 17:12:26.442, 23.69 W
2025/06/04 17:12:27.442, 23.67 W
2025/06/04 17:12:28.443, 23.76 W
2025/06/04 17:12:29.444, 11.00 W
2025/06/04 17:12:30.446, 3.44 W
2025/06/04 17:12:31.447, 3.44 W
2025/06/04 17:12:32.449, 3.10 W
2025/06/04 17:12:33.450, 3.80 W
2025/06/04 17:12:34.451, 3.51 W
2025/06/04 17:12:35.452, 3.40 W
2025/06/04 17:12:36.453, 3.83 W
2025/06/04 17:12:37.455, 3.44 W
2025/06/04 17:12:38.456, 3.50 W
2025/06/04 17:12:39.457, 3.85 W
2025/06/04 17:12:40.458, 3.80 W
2025/06/04 17:12:41.459, 3.37 W
2025/06/04 17:12:42.460, 3.33 W
2025/06/04 17:12:43.461, 3.32 W
2025/06/04 17:12:44.463, 3.63 W
2025/06/04 17:12:45.464, 4.05 W
2025/06/04 17:12:46.465, 7.51 W
2025/06/04 17:12:47.466, 4.29 W
2025/06/04 17:12:48.468, 3.45 W
2025/06/04 17:12:49.471, 3.72 W
2025/06/04 17:12:50.475, 3.25 W
2025/06/04 17:12:51.478, 3.20 W
2025/06/04 17:12:52.481, 3.17 W
2025/06/04 17:12:53.486, 4.20 W
2025/06/04 17:12:54.490, 3.29 W
2025/06/04 17:12:55.493, 3.34 W
2025/06/04 17:12:56.497, 3.49 W
2025/06/04 17:12:57.500, 3.17 W
2025/06/04 17:12:58.503, 3.32 W
2025/06/04 17:12:59.506, 3.15 W
2025/06/04 17:13:00.510, 3.45 W
2025/06/04 17:13:01.513, 3.51 W
2025/06/04 17:13:02.516, 3.51 W
2025/06/04 17:13:03.520, 3.59 W
2025/06/04 17:13:04.523, 3.10 W
2025/06/04 17:13:05.525, 4.61 W
2025/06/04 17:13:06.532, 3.29 W
2025/06/04 17:13:07.536, 3.04 W
2025/06/04 17:13:08.541, 3.22 W
2025/06/04 17:13:09.544, 3.10 W
2025/06/04 17:13:10.547, 3.53 W
2025/06/04 17:13:11.549, 3.63 W
2025/06/04 17:13:12.552, 3.63 W
2025/06/04 17:13:13.555, 3.08 W
2025/06/04 17:13:14.557, 3.02 W
2025/06/04 17:13:15.560, 3.17 W
2025/06/04 17:13:16.562, 3.14 W
2025/06/04 17:13:17.564, 3.54 W
2025/06/04 17:13:18.566, 3.57 W
2025/06/04 17:13:19.569, 3.32 W
2025/06/04 17:13:20.571, 3.03 W
2025/06/04 17:13:21.574, 3.35 W
2025/06/04 17:13:22.577, 3.66 W
2025/06/04 17:13:23.579, 4.82 W
2025/06/04 17:13:24.581, 3.61 W
2025/06/04 17:13:25.583, 3.16 W
2025/06/04 17:13:26.585, 3.45 W
2025/06/04 17:13:27.586, 3.67 W
2025/06/04 17:13:28.589, 3.09 W
2025/06/04 17:13:29.592, 3.13 W
2025/06/04 17:13:30.596, 3.16 W
2025/06/04 17:13:31.599, 3.26 W
2025/06/04 17:13:32.602, 3.25 W
2025/06/04 17:13:33.604, 3.19 W
2025/06/04 17:13:34.606, 3.64 W
2025/06/04 17:13:35.607, 3.68 W
2025/06/04 17:13:36.609, 3.21 W
2025/06/04 17:13:37.611, 3.21 W
2025/06/04 17:13:38.613, 3.27 W
2025/06/04 17:13:39.617, 3.60 W
2025/06/04 17:13:40.619, 3.68 W
2025/06/04 17:13:41.621, 3.72 W
2025/06/04 17:13:42.623, 3.71 W
2025/06/04 17:13:43.624, 3.23 W
2025/06/04 17:13:44.625, 6.49 W
2025/06/04 17:13:45.626, 5.54 W
2025/06/04 17:13:46.627, 3.22 W
2025/06/04 17:13:47.628, 3.99 W
2025/06/04 17:13:48.629, 3.65 W
2025/06/04 17:13:49.630, 3.17 W
2025/06/04 17:13:50.631, 3.64 W
2025/06/04 17:13:51.632, 3.57 W
2025/06/04 17:13:52.634, 3.48 W
2025/06/04 17:13:53.635, 3.56 W
2025/06/04 17:13:54.636, 2.79 W
2025/06/04 17:13:55.637, 3.10 W
2025/06/04 17:13:56.638, 3.30 W
2025/06/04 17:13:57.640, 3.31 W
2025/06/04 17:13:58.642, 3.29 W
2025/06/04 17:13:59.644, 3.60 W
2025/06/04 17:14:00.647, 3.59 W
2025/06/04 17:14:01.648, 3.64 W
2025/06/04 17:14:02.649, 3.27 W
2025/06/04 17:14:03.651, 3.37 W
2025/06/04 17:14:04.652, 3.21 W
2025/06/04 17:14:05.653, 3.11 W
2025/06/04 17:14:06.656, 3.53 W
2025/06/04 17:14:07.659, 3.51 W
2025/06/04 17:14:08.661, 3.60 W
2025/06/04 17:14:09.662, 3.65 W
2025/06/04 17:14:10.664, 3.18 W
2025/06/04 17:14:11.665, 3.16 W
2025/06/04 17:14:12.666, 3.17 W
2025/06/04 17:14:13.667, 3.19 W
2025/06/04 17:14:14.669, 3.53 W
2025/06/04 17:14:15.672, 3.57 W
2025/06/04 17:14:16.674, 3.23 W
2025/06/04 17:14:17.675, 2.71 W
2025/06/04 17:14:18.677, 3.29 W
2025/06/04 17:14:19.678, 3.23 W
2025/06/04 17:14:20.679, 3.04 W
2025/06/04 17:14:21.680, 3.39 W
2025/06/04 17:14:22.683, 3.31 W
2025/06/04 17:14:23.685, 3.25 W
2025/06/04 17:14:24.688, 3.74 W
2025/06/04 17:14:25.689, 3.47 W
2025/06/04 17:14:26.690, 3.44 W
2025/06/04 17:14:27.691, 3.40 W
2025/06/04 17:14:28.692, 3.42 W
2025/06/04 17:14:29.693, 3.44 W
2025/06/04 17:14:30.695, 3.70 W
2025/06/04 17:14:31.698, 3.44 W
2025/06/04 17:14:32.700, 3.32 W
2025/06/04 17:14:33.701, 3.38 W
2025/06/04 17:14:34.702, 3.76 W
2025/06/04 17:14:35.703, 3.33 W
2025/06/04 17:14:36.705, 3.67 W
2025/06/04 17:14:37.706, 3.77 W
2025/06/04 17:14:38.708, 3.70 W
2025/06/04 17:14:39.710, 3.71 W
2025/06/04 17:14:40.712, 4.53 W
2025/06/04 17:14:41.714, 3.67 W
2025/06/04 17:14:42.715, 3.33 W
2025/06/04 17:14:43.716, 3.38 W
2025/06/04 17:14:44.717, 3.36 W
2025/06/04 17:14:45.718, 3.69 W
2025/06/04 17:14:46.720, 3.46 W
2025/06/04 17:14:47.723, 3.28 W
2025/06/04 17:14:48.725, 4.00 W
2025/06/04 17:14:49.726, 3.59 W
2025/06/04 17:14:50.727, 3.25 W
2025/06/04 17:14:51.728, 3.24 W
2025/06/04 17:14:52.729, 3.31 W
2025/06/04 17:14:53.730, 3.72 W
2025/06/04 17:14:54.732, 3.37 W
2025/06/04 17:14:55.735, 3.23 W
2025/06/04 17:14:56.737, 3.68 W
2025/06/04 17:14:57.738, 3.28 W
2025/06/04 17:14:58.739, 3.28 W
2025/06/04 17:14:59.740, 3.26 W
2025/06/04 17:15:00.741, 3.29 W
2025/06/04 17:15:01.743, 3.28 W
2025/06/04 17:15:02.745, 3.30 W
2025/06/04 17:15:03.747, 3.26 W
2025/06/04 17:15:04.750, 3.19 W
2025/06/04 17:15:05.751, 3.45 W
2025/06/04 17:15:06.752, 3.71 W
2025/06/04 17:15:07.753, 3.21 W
2025/06/04 17:15:08.755, 3.63 W
2025/06/04 17:15:09.756, 3.26 W
2025/06/04 17:15:10.759, 3.31 W
2025/06/04 17:15:11.762, 3.28 W
2025/06/04 17:15:12.764, 3.18 W
2025/06/04 17:15:13.766, 3.34 W
2025/06/04 17:15:14.767, 3.39 W
2025/06/04 17:15:15.768, 3.75 W
2025/06/04 17:15:16.770, 3.36 W
2025/06/04 17:15:17.774, 3.30 W
2025/06/04 17:15:18.775, 3.23 W
2025/06/04 17:15:19.777, 3.42 W
2025/06/04 17:15:20.782, 3.40 W
2025/06/04 17:15:21.783, 3.47 W
2025/06/04 17:15:22.784, 3.49 W
2025/06/04 17:15:23.786, 3.69 W
2025/06/04 17:15:24.787, 3.43 W
2025/06/04 17:15:25.788, 3.34 W
2025/06/04 17:15:26.790, 3.38 W
2025/06/04 17:15:27.793, 3.56 W
2025/06/04 17:15:28.795, 3.77 W
2025/06/04 17:15:29.797, 3.44 W
2025/06/04 17:15:30.798, 3.70 W
2025/06/04 17:15:31.799, 3.80 W
2025/06/04 17:15:32.800, 3.31 W
2025/06/04 17:15:33.801, 3.42 W
2025/06/04 17:15:34.804, 3.45 W
2025/06/04 17:15:35.807, 3.26 W
2025/06/04 17:15:36.809, 3.77 W
2025/06/04 17:15:37.810, 3.78 W
2025/06/04 17:15:38.811, 3.69 W
2025/06/04 17:15:39.812, 3.31 W
2025/06/04 17:15:40.814, 3.83 W
2025/06/04 17:15:41.815, 3.34 W
2025/06/04 17:15:42.817, 3.41 W
2025/06/04 17:15:43.819, 3.74 W
2025/06/04 17:15:44.821, 3.48 W
2025/06/04 17:15:45.823, 3.29 W
2025/06/04 17:15:46.824, 3.41 W
2025/06/04 17:15:47.825, 3.41 W
2025/06/04 17:15:48.826, 3.34 W
2025/06/04 17:15:49.828, 3.38 W
2025/06/04 17:15:50.830, 3.26 W
2025/06/04 17:15:51.832, 3.38 W
2025/06/04 17:15:52.835, 3.40 W
2025/06/04 17:15:53.836, 3.68 W
2025/06/04 17:15:54.837, 3.51 W
2025/06/04 17:15:55.838, 3.60 W
2025/06/04 17:15:56.839, 3.35 W
2025/06/04 17:15:57.840, 3.39 W
2025/06/04 17:15:58.842, 3.77 W
2025/06/04 17:15:59.844, 3.77 W
2025/06/04 17:16:00.845, 3.40 W
2025/06/04 17:16:01.846, 3.35 W
2025/06/04 17:16:02.848, 3.29 W
2025/06/04 17:16:03.849, 3.41 W
2025/06/04 17:16:04.850, 3.26 W
2025/06/04 17:16:05.852, 3.70 W
2025/06/04 17:16:06.854, 3.27 W
2025/06/04 17:16:07.856, 3.45 W
2025/06/04 17:16:08.859, 3.79 W
2025/06/04 17:16:09.863, 3.33 W
2025/06/04 17:16:10.864, 3.46 W
2025/06/04 17:16:11.867, 3.31 W
2025/06/04 17:16:12.868, 3.26 W
2025/06/04 17:16:13.870, 3.75 W
2025/06/04 17:16:14.871, 3.66 W
2025/06/04 17:16:15.873, 4.06 W
2025/06/04 17:16:16.876, 4.35 W
2025/06/04 17:16:17.879, 4.20 W
2025/06/04 17:16:18.884, 3.01 W
2025/06/04 17:16:19.886, 2.81 W
2025/06/04 17:16:20.887, 2.85 W
2025/06/04 17:16:21.888, 2.75 W
2025/06/04 17:16:22.889, 2.82 W
2025/06/04 17:16:23.891, 2.90 W
