frame_id,elapsed_page_h2d_ms,bw_page_h2d_MBps,elapsed_pin_h2d_ms,bw_pin_h2d_MBps,elapsed_kernels_ms,elapsed_page_d2h_ms,bw_page_d2h_MBps,elapsed_pin_d2h_ms,bw_pin_d2h_MBps
1,N/A,N/A,0.472,465.491,2.361,N/A,N/A,0.137,1609.200
2,N/A,N/A,0.142,1544.412,0.051,N/A,N/A,0.085,2575.564
3,N/A,N/A,0.120,1826.671,0.062,N/A,N/A,0.048,4589.876
4,N/A,N/A,0.106,2073.831,0.063,N/A,N/A,0.045,4849.192
5,N/A,N/A,0.109,2020.140,0.110,N/A,N/A,0.047,4655.224
6,N/A,N/A,0.146,1508.448,0.068,N/A,N/A,0.046,4778.326
7,N/A,N/A,0.115,1905.232,0.065,N/A,N/A,0.048,4544.312
8,N/A,N/A,0.099,2220.716,0.073,N/A,N/A,0.048,4538.305
9,N/A,N/A,0.120,1833.989,0.076,N/A,N/A,0.046,4775.003
10,N/A,N/A,0.117,1878.647,0.066,N/A,N/A,0.048,4577.637
11,N/A,N/A,0.109,2012.443,0.064,N/A,N/A,0.047,4693.407
12,N/A,N/A,0.099,2210.707,0.068,N/A,N/A,0.047,4706.275
13,N/A,N/A,0.103,2128.473,0.072,N/A,N/A,0.047,4658.382
14,N/A,N/A,0.147,1491.411,0.064,N/A,N/A,0.047,4661.544
15,N/A,N/A,0.088,2483.347,0.070,N/A,N/A,0.046,4758.458
16,N/A,N/A,0.098,2232.993,0.071,N/A,N/A,0.072,3070.865
17,N/A,N/A,0.098,2244.673,0.065,N/A,N/A,0.048,4580.690
18,N/A,N/A,0.102,2148.453,0.071,N/A,N/A,0.046,4758.458
19,N/A,N/A,0.102,2144.427,0.069,N/A,N/A,0.047,4652.070
20,N/A,N/A,0.090,2454.058,0.074,N/A,N/A,0.049,4508.506
21,N/A,N/A,0.111,1971.986,0.065,N/A,N/A,0.047,4674.237
22,N/A,N/A,0.099,2212.131,0.068,N/A,N/A,0.045,4849.192
23,N/A,N/A,0.099,2212.844,0.072,N/A,N/A,0.050,4432.831
24,N/A,N/A,0.097,2260.933,0.076,N/A,N/A,0.049,4484.948
25,N/A,N/A,0.085,2584.289,0.067,N/A,N/A,0.072,3043.641
26,N/A,N/A,0.103,2143.088,0.069,N/A,N/A,0.046,4828.731
27,N/A,N/A,0.097,2267.654,0.062,N/A,N/A,0.045,4866.375
28,N/A,N/A,0.101,2174.994,0.065,N/A,N/A,0.047,4680.610
29,N/A,N/A,0.098,2244.673,0.073,N/A,N/A,0.047,4667.882
30,N/A,N/A,0.094,2328.401,0.069,N/A,N/A,0.048,4596.021
31,N/A,N/A,0.107,2048.465,0.066,N/A,N/A,0.048,4605.269
32,N/A,N/A,0.099,2217.131,0.065,N/A,N/A,0.046,4781.654
33,N/A,N/A,0.099,2212.131,0.151,N/A,N/A,0.157,1397.325
34,N/A,N/A,0.110,1996.063,0.068,N/A,N/A,0.048,4602.182
35,N/A,N/A,0.099,2219.998,0.066,N/A,N/A,0.047,4687.000
36,N/A,N/A,0.103,2141.083,0.066,N/A,N/A,0.046,4784.986
37,N/A,N/A,0.105,2094.070,0.069,N/A,N/A,0.046,4795.011
38,N/A,N/A,0.150,1465.000,0.065,N/A,N/A,0.048,4596.021
39,N/A,N/A,0.100,2195.860,0.063,N/A,N/A,0.048,4538.305
40,N/A,N/A,0.135,1628.666,0.172,N/A,N/A,0.143,1539.909
41,N/A,N/A,0.099,2214.271,0.064,N/A,N/A,0.048,4586.811
42,N/A,N/A,0.106,2071.954,0.070,N/A,N/A,0.047,4703.051
43,N/A,N/A,0.121,1818.928,0.070,N/A,N/A,0.157,1401.603
44,N/A,N/A,0.111,1974.254,0.072,N/A,N/A,0.046,4742.027
